LABEL	SENTENCE
其它#骂人	贱人，你刚刚说什么来着
其它#骂人	煞笔
其它#骂人	废话
其它#骂人	妈的
其它#骂人	混账
其它#骂人	你他妈废话啊
其它#骂人	艹草
其它#骂人	屌丝
其它#骂人	废话不要讲那么多，给点实际的
其它#骂人	你个狗日的
其它#骂人	神经病
其它#骂人	低能儿
其它#骂人	狗日的
其它#骂人	杀马特
其它#骂人	你妹
其它#骂人	流氓，能说点好听的么
其它#骂人	我勒个去
其它#骂人	我草
其它#骂人	傻逼
其它#骂人	你丫的
其它#骂人	都给我住嘴
导购#不成交	不买了
导购#不理解	能再说一遍么
导购#不理解	对不起我没挺清楚您说的话，请再重复一遍好吗
导购#开始	请问，这里能买手机吗
导购#开始	我现在想换个手机
导购#开始	你这里有手机卖吗
导购#开始	有什么比较好的手机
导购#开始	原来的手机坏了，想换台新手机
导购#开始	有什么手机能推荐
导购#开始	你这里卖手机吗
导购#开始	这里有手机吗
导购#开始	帮我选一台手机
导购#开始	我想要买手机
导购#开始	帮帮我选手机
导购#开始	我要买款手机
导购#开始	有什么新款的手机
导购#开始	推荐一款新的手机
导购#开始	打扰一下
导购#开始	怎么买手机
导购#成交	就是这台了
导购#成交	相中这部手机
导购#成交	正是要这部
导购#成交	是我的
导购#成交	要一套
导购#成交	我要了
导购#成交	正是买这部
导购#成交	﻿成交
导购#成交	买了
导购#成交	就是他了
导购#成交	就她吧
导购#成交	决定是他
导购#成交	把它带回家
导购#成交	敲定她
导购#成交	挑中是她了
导购#成交	收回家
导购#成交	就要它了
导购#成交	把他带回家
导购#成交	是我的了
导购#成交	就这部
导购#成交	要了
导购#成交	就是想要他
导购#成交	要这部
导购#成交	要这种
导购#成交	正是买她
导购#成交	要六个
导购#成交	要了它
导购#成交	决定是这部了
导购#成交	相中是他
导购#成交	这款我要了
导购#成交	就要她了
导购#成交	那我就买它
导购#成交	挑中是他了
导购#成交	就是要她
导购#成交	就是想要这台
导购#更换	换一个手机
导购#更换	换其他的
导购#更换	还有另一台吗
导购#更换	麻烦推荐其他的给我
导购#更换	我要别的
导购#更换	还有吗
导购#更换	还有另一款吗
导购#更换	还有其他款式的吗
导购#更换	推荐另一部
导购#更换	推荐别的可以吗
导购#更换	还有别的类型吗
导购#更换	推荐其他的手机给我吧
导购#更换	还有别的款式吗
导购#更换	还有别的吗
导购#结束	我得赶末班车回城
