LABEL	SENTENCE
其它#骂人	神经
其它#骂人	去死、去死、去死
其它#骂人	变态
其它#骂人	你傻吗
其它#骂人	低能
其它#骂人	你真逗逼
其它#骂人	给我滚
其它#骂人	你有病啊
其它#骂人	你们闭嘴
其它#骂人	妈B
其它#骂人	混蛋
其它#骂人	我现在不想听你讲话，给我滚
其它#骂人	二逼
其它#骂人	你有病啊，前言不搭后语的
其它#骂人	我去
其它#骂人	傻逼，听不懂我刚刚说什么了啊
其它#骂人	靠靠靠
其它#骂人	流氓
其它#骂人	八嘎牙路
其它#骂人	逗逼
其它#骂人	去死把
导购#不成交	我不买了
导购#不理解	你刚刚说的话很莫名其妙
导购#不理解	莫名其妙的
导购#开始	我想看手机
导购#开始	我想买一部手机
导购#开始	我们继续聊手机
导购#开始	卖不卖手机
导购#开始	买手机
导购#开始	我想买一款手机
导购#开始	帮我选一款手机吧
导购#开始	给我妈妈买个手机
导购#开始	推荐一款手机给我吧
导购#开始	我再看看
导购#开始	我想买一台手机
导购#开始	我想和你聊天
导购#开始	帮我挑选个手机
导购#开始	我要买手机
导购#开始	我要给我妈妈买个手机
导购#开始	我需要一台新手机
导购#成交	把她收回家
导购#成交	相中是她
导购#成交	想买的就是他
导购#成交	要了他
导购#成交	我买
导购#成交	挑中是它了
导购#成交	收下了
导购#成交	我要她
导购#成交	我要这款
导购#成交	相中是它
导购#成交	我还要再买这款
导购#成交	挑中这部了
导购#成交	要要要
导购#成交	敲定他
导购#成交	正是要她
导购#成交	我就要这一部
导购#成交	就是她了
导购#成交	就是要他
导购#成交	就是要它
导购#成交	我买他了
导购#成交	要一个
导购#成交	就这手机
导购#成交	要两套
导购#成交	我要
导购#成交	我要买这一部
导购#成交	相中是这部了
导购#成交	我都想要一个了
导购#成交	就是想要它
导购#成交	就是要这台
导购#成交	决定是它
导购#成交	就是它了
导购#成交	属于我的了
导购#成交	决定是她
导购#成交	相中是这台了
导购#成交	要这台
导购#更换	我想换另一款
导购#更换	我要其他手机
导购#更换	还有另一部吗
导购#更换	我想要另一款手机
导购#更换	还有其他类型的吗
导购#更换	我想要别的手机
导购#更换	还有其他的吗
导购#更换	﻿换一款吧
导购#更换	换其他的看看
导购#更换	我要另一款
导购#更换	更换一台可以吗
导购#更换	我要另一部手机
导购#更换	我要其他的
导购#更换	推荐另一台吧
导购#更换	给我看另一款手机吧
导购#结束	好梦
导购#结束	与你这次谈话非常愉快
导购#结束	不送你啦
导购#结束	希望我们以后能经常保持联络
导购#结束	我想我们这样也谈不出什么名堂来了
导购#结束	天越来越黑，我得走了
导购#结束	还有什么需要，再打电话联系我
导购#结束	下次再见
导购#结束	我先去洗澡了
导购#结束	我先走了
导购#结束	祝好梦
导购#结束	请珍重
导购#结束	保持联系
导购#结束	那我们就下周再见吧
导购#结束	﻿晚安
导购#结束	再见
导购#结束	我会再打电话给你的
导购#结束	来也匆匆，去也匆匆，期待下一次重逢
导购#结束	好吧该睡觉了
导购#结束	再见，请留步
导购#结束	谢谢光临，希望下次还能为您服务
导购#结束	我期待着你的消息
导购#结束	没想到已这么晚了，我得走
导购#结束	下次再聊
导购#结束	我们就此别过
导购#结束	回头见
导购#结束	再见，当心点
导购#结束	到了再给我打电话
导购#结束	我要去忙其他事了
导购#结束	我该告辞了
导购#结束	我要走了，不知道下次什么时候再见
导购#结束	失陪了
导购#结束	路上小心，注意车辆
导购#结束	下次再好好聊聊
导购#详情	具体点
导购#详情	你这里卖什么牌子的手机
导购#详情	详细点讲
导购#详情	详细点
表态#不满	我不喜欢啊
表态#不满	不喜欢这台手机
表态#不满	我不喜欢它
表态#不满	糟糕
表态#不满	不喜欢这台
表态#不满	不合意
表态#不满	不满意
表态#不满	安静，安静
表态#不满	不跟你玩了
表态#不满	不和你玩了
表态#不满	不太合意
表态#不满	停，怎么把我给忘了
表态#不满	还没到我喜欢的
表态#不满	没想象中的好
表态#不满	不喜欢这款手机
表态#不满	不太合胃口
表态#不满	真是无语了
表态#不满	我不喜欢这台手机
表态#不满	这个我不喜欢
表态#否定	不要这台
表态#否定	你不能乱说话
表态#否定	你这样是不对的
表态#否定	我认为你的说法是不对的
表态#否定	你这样是不行的
表态#否定	你的话非君子之言
表态#否定	你的做法是不行的
表态#否定	我不认为你的观点是好的
表态#否定	这不可能是这样的
表态#否定	不要这款手机
表态#否定	不可以这样
表态#否定	我不要这个手机
表态#否定	我认为你的想法是不对的
表态#否定	﻿不
表态#否定	我认为你的说法不好
表态#否定	错误
表态#否定	无直接关系
表态#否定	不要这部手机
表态#否定	不靠谱
表态#否定	不是很好
表态#否定	我不认为你的做法是好的
表态#否定	我认为你做的不对
表态#否定	我没有
表态#否定	我不同意你的说法
表态#否定	不怎么样
表态#否定	我不认为你说的对
表态#否定	我不认为你的说法是好的
表态#否定	我不认为是这样的
表态#否定	我不要
表态#否定	我不要这款手机
表态#否定	我不认为你做的对
表态#否定	不对
表态#否定	这是不对的
表态#否定	我不同意
表态#否定	我不认为你的想法是行的
表态#否定	我认为你的做法是不行的
表态#否定	我认为你的想法不好
表态#否定	我觉得这款不好
表态#满意	你的状态非常饱满哦
表态#满意	超级棒的手机
表态#满意	我好中意
表态#满意	好评
表态#满意	你太聪明了，我太崇拜你了
表态#满意	你很勇敢哦
表态#满意	给力
表态#满意	干得好
表态#满意	你说的真好
表态#满意	很好
表态#满意	我懂了，好厉害
表态#满意	好开心啊，谢谢你哦
表态#满意	猴赛雷
表态#满意	听了你的话，顿时心里踏实了
表态#满意	真的不错
表态#满意	你的观点很好，大家会赞成的
表态#满意	讲话就该像你这样
表态#满意	漂亮
表态#满意	说得太棒了
表态#满意	这款手机不错
表态#满意	你刚刚让我大吃一惊，说得太好了
表态#满意	你表现得很自信哦
表态#满意	希望你再接再厉，取得更大的进步
表态#满意	不错的手机
表态#满意	他跟你介绍的那个样子差不多，你说的太准了
表态#满意	不错
表态#犹豫	正在犹豫要不要
表态#犹豫	给点意见
表态#犹豫	考虑下
表态#犹豫	我不知道选哪一个
表态#犹豫	都不知买不买好
表态#犹豫	买还是不买呢
表态#犹豫	我没有好的观点
表态#犹豫	我没有任何想法
表态#犹豫	我想想
表态#犹豫	你有没有什么好的建议
表态#犹豫	那么，你觉得这部手机好吗
表态#犹豫	等一下，我想想
表态#犹豫	我要买哪一个
表态#犹豫	到底值不值得买呢
表态#犹豫	我再想想
表态#犹豫	我想考虑下
表态#犹豫	你有什么意见
表态#犹豫	我不确定到底要买哪一款手机
表态#犹豫	你有没有好的建议吗
表态#犹豫	犹豫不决
表态#疑问	真的么
表态#疑问	真的么？怎么会这样呢
表态#肯定	好吧
表态#肯定	这完全能行
表态#肯定	这不存在问题，这是完全正确的
表态#肯定	我同意你的说法
表态#肯定	是的啊
表态#肯定	好的啊
表态#肯定	我认为完全正确
表态#肯定	我坚信我的想法是正确的
表态#肯定	我认为我的想法非常正确
表态#肯定	真的该这样
表态#肯定	是的，这是绝对正确的
表态#肯定	没错，这是十分正确的
表态#肯定	我坚信我的观点是对的
表态#肯定	我认为我的想法完全正确
表态#肯定	就是你说的这样做
表态#肯定	你说的对哦，这件事本该如此
表态#肯定	我也这么认为的
表态#肯定	这能行
表态#肯定	可以的
表态#肯定	我坚信这能行
表态#肯定	我肯定这是对的
表态#肯定	可以喔
表态#肯定	就该这样做的
表态#肯定	我坚信我的想法，那是非常正确的
表态#肯定	同意
表态#肯定	我认同你
表态#肯定	我认为是对的
表态#肯定	你说得对
表态#肯定	我坚信我的想法，那是完全正确的
表态#肯定	这显然是正确的啊
表态#肯定	完全正确
表态#肯定	我认为我的想法肯定正确
表态#肯定	可以接受
表态#肯定	我认为我的想法十分正确
表态#肯定	这一定是完全正确的
表态#肯定	我坚信这完全能行
表态#肯定	这肯定能行
表态#肯定	嗯，肯定是对的
表态#肯定	是的，这样是正确的
表态#肯定	我认为我一定对
表态#肯定	一般般
表态#肯定	对
表态#肯定	我肯定我的想法是非常正确的
表态#肯定	我坚信我的想法，那是绝对正确的
表态#肯定	正确
表态#肯定	感觉好像那部手机好一点
表态#肯定	我坚信这肯定能行
表态#肯定	是
表态#肯定	我认为肯定能行
表态#肯定	我认为我是对的
表态#肯定	我想这是正确的
表态#附和	是这样的吧
表态#附和	哦，原来如此
表态#附和	哈哈哈
表态#附和	汪
表态#随便	没有要求
表态#随便	随便啦
表态#随便	都行
社交义务#不用谢	不客气
社交义务#不用谢	不谢
社交义务#接受道歉	没事
社交义务#接受道歉	接受你的道歉
社交义务#接受道歉	做错了可以再来过嘛，加油
社交义务#致谢	嗨，幸会
社交义务#致谢	请多关照
社交义务#致谢	我们对您的关照，谨致谢意
社交义务#道歉	打扰了
社交义务#道歉	不好意思，打扰一下
社交义务#问候	祝你幸福快乐
社交义务#问候	你吃饭了吗
社交义务#问候	吃饭了没有
社交义务#问候	近来好吗
社交义务#问候	阿姨，你好
社交义务#问候	一起都好吗
社交义务#问候	你好，很高兴能认识你
社交义务#问候	很高兴见到你
社交义务#问候	欢迎你光临指导
社交义务#问候	最近好吗
社交义务#问候	吃过饭了没有
社交义务#问候	晚上好，先生
社交义务#问候	早上好
社交义务#问候	机器人你好
社交义务#问候	节日快乐
闲聊#天气	轻雾，浓雾，强浓雾，轻微霾，轻度霾，中度霾，重度霾，特强霾，霰，飑线
闲聊#天气	昨晚好像下大暴雨
闲聊#天气	阴
闲聊#天气	由于雾霾我们周末只能待在家里
闲聊#天气	天气不错，适宜晾晒衣物
闲聊#天气	小雨、中雨、大雨、暴雨、大暴雨、特大暴雨
闲聊#天气	去年的国庆节下好大的雪
闲聊#天气	雨势明显增强
闲聊#天气	这里的全年平均气温居世界第一高
闲聊#天气	这个地方一年里有一半的时间都在下雨
闲聊#天气	暴雨到大暴雨、
闲聊#天气	天气炎热
闲聊#天气	这几天温度居然高达40度
闲聊#天气	大暴雨到特大暴雨、
闲聊#天气	这个台风还有2个小时就到达
闲聊#天气	下个月冬天来了就开始下雪了
闲聊#天气	多云、
闲聊#天气	每年的清明节我家乡都会下绵绵细雨
闲聊#天气	雷阵雨伴有冰雹、
闲聊#天气	明天又将是晴空万里的一天
闲聊#天气	这个周末台风就到了
闲聊#天气	晴、
闲聊#天气	最近的天气好潮湿
闲聊#天气	一看到浓密的乌云就知道一场暴雨快来了
闲聊#天气	这场雨持续了整整一个星期
闲聊#天气	持续的雷暴雨让人觉得很不舒服
闲聊#天气	夏天，雷雨到来之前，在天空先会看到积云
闲聊#天气	这几天好热
闲聊#天气	天气预报说接下来的一个星期里天气怎么样？
闲聊#天气	天气预报
闲聊#天气	明天天气如何
闲聊#天气	这几天天气真的好冷
闲聊#天气	今天天气真的很好
闲聊#天气	今天的太阳挺烈的
闲聊#天气	今天的天气一般
闲聊#天气	昨天下了好大的暴雨
闲聊#天气	这么浓的雾我还是第一次见
闲聊#天气	天气预报说今天是晴天然而并不是
闲聊#天气	4号那天好像会刮台风
闲聊#天气	小到中雪、
闲聊#时间	还有多少秒
闲聊#时间	晚上九点半
闲聊#时间	你知道现在是什么时候吗
闲聊#时间	我想问一下现在的准确时间是多少
闲聊#时间	明年不是平年
闲聊#时间	过几个星期吧
闲聊#时间	还剩下多少时间
闲聊#时间	今天离5月1日还有多少天
闲聊#时间	距离周末还有两天时间
闲聊#时间	明天是星期天
闲聊#时间	一分钟有多少秒
闲聊#时间	凌晨几点
闲聊#时间	一天有多长
闲聊#时间	现在时间是多少
闲聊#时间	明天几点
闲聊#时间	今年的国庆节是周末吗
闲聊#时间	大概还有几天
闲聊#时间	你知道一个小时有多少秒吗
闲聊#时间	2000年不是闰年
闲聊#时间	明天是星期几
闲聊#时间	今年的2月没有第29天
闲聊#时间	中午什么时候
闲聊#时间	还有多少分钟
闲聊#时间	3点钟
闲聊#时间	大概几点
闲聊#身份信息	你会攻击人类吗
闲聊#身份信息	你可以帮人类做家务吗
闲聊#身份信息	你的生日是什么时候
闲聊#身份信息	你叫什么
闲聊#身份信息	你能做些啥
闲聊#身份信息	你都能做些什么
闲聊#身份信息	你是机器人吧
闲聊#身份信息	你可以帮我倒杯水吗
闲聊#身份信息	你叫什么名字
闲聊#身份信息	快告诉我，你真的是好人吗
闲聊#身份信息	你家庭成员有几个啊
闲聊#身份信息	你是人类还是机器人
闲聊#身份信息	你是绅士吗
闲聊#身份信息	你是女的吗
闲聊#身份信息	你有没有职业
闲聊#身份信息	你会背诗吗
闲聊#身份信息	你会不会讲故事啊
闲聊#身份信息	你会干什么
闲聊#身份信息	你会独立思考吗
闲聊#身份信息	你会做算术吗
闲聊#身份信息	你会唱歌跳舞吗
闲聊#身份信息	你能听懂我说的话吗
闲聊#身份信息	你姓什么
闲聊#身份信息	你是男的吗
闲聊#身份信息	你姓什么哦
闲聊#身份信息	你的三围是多少
闲聊#身份信息	你叫什么名字呀
闲聊#身份信息	你属于哪个国籍的
闲聊#身份信息	你是男的
闲聊#身份信息	你可以像人一样走路吗
闲聊#身份信息	快说，你现在几岁了
闲聊#身份信息	你是哪个公司开发的
闲聊#身份信息	男的吗
闲聊#身份信息	告诉我，你是不是机器人
闲聊#身份信息	你能看得到我吗
